ERNv,Host,HighTaxon,LowTaxon,Virus,HostStageInfected,HostTissueInfected,Field,Country,IntermediateHost,CreationDate,ModificationDate,ProvinceA,PathogenValue
515,Eucosma ancyrota,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
516,Rhyacionia duplana,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
517,Graphium sarpedon,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
518,Luehdorfia japonica,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
519,Papilio machaon,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
520,Papilio machaon hippocrates,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
521,Papilio podalirius,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
522,Aporia crataegi,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
1357,Aporia crataegi,DNA virus,Baculoviridae,NPV,Larva,"Hypodermis, fat body, tracheal matrix, hemocytes",Field,"China, USSR",,1/8/2096,2/12/2099,,
523,Catopsilia pomona,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
524,Colias electo,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
525,Colias eurytheme,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
526,Colias eurytheme,DNA virus,Baculoviridae,NPV,,,Field,USA,,1/8/2096,2/12/2099,,
527,Colias lesbia,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
528,Colias philodice,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
529,Euchloe cardamines,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
530,Gonepteryx rhamni ,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
531,Neophasia menapia,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
532,Pieris brassicae,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
533,Pieris brassicae,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
534,Pieris melete,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
535,Artogeia rapae,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
536,Artogeia rapae,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
537,Artogeia rapae crucivora,RNA virus,Reoviridae,CPV,,,Field,Japan,,1/8/2096,2/12/2099,,
538,Canephoria asiatica,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
539,Cryptothelia junodi,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
540,Oiketicus kirbyi,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
541,Thyridopteryx ephemeraeformis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
542,Achroia grisella,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
543,Algedonia coclesalis,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
544,Cactoblastis cactorum,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
545,Chilo suppressalis,DNA virus,Iridoviridae,Chilo suppressalis IV Type 6  ,,,Field,Japan,,1/8/2096,2/12/2099,,
546,Cnaphalocrocis medinalis,DNA virus,Iridoviridae,IV,,,Field,"Japan, China",,1/8/2096,2/12/2099,,
547,Chilo suppressalis,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
548,Corcyra cephalonica,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
549,Diaphania indica,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
550,Diatraea grandiosella,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
551,Dichocrocis punctiferalis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
1358,Cadra cautella,DNA virus,Baculoviridae,Cadra cautella NPV  (CcMNPV),Larva,"fatbody, hypodermis, tracheae",Field,"USA, Japan",,1/8/2096,2/12/2099,,
552,Ephestia elutella,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
553,Ephestia kuehniella,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
554,Galleria mellonella,RNA virus,Reoviridae,CPV,,,Field,Japan,,1/8/2096,2/12/2099,,
555,Galleria mellonella,DNA virus,Iridoviridae,IV,,,Field,Japan,,1/8/2096,2/12/2099,,
556,Diaphania pyloalis,DNA virus,Iridoviridae,IV,,,Field,Japan,,1/8/2096,2/12/2099,,
557,Loxostege sticticalis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
558,Nacoleia octosema,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
559,Nagia balteata,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
560,Nagia inferior,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
561,Ostrinia nubilalis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
562,Amyelois transitella,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
563,Plodia interpunctella ,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
564,Sybrida misakiensis,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
565,Sylepta derogata,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
566,Tetralopha scortealis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
567,Witlesia sabulosella,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
568,Actias luna,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
569,Actias selene,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
570,Anisota senatoria,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
571,Opodiphthera eucalypti,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
572,Opodiphthera eucalypti,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
573,Antheraea mylitta,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,12/29/2099,,
574,Antheraea mylitta,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,12/29/2099,,
575,Antheraea pernyi,DNA virus,Baculoviridae,NPV,,,Field,"Japan, China",,1/8/2096,2/12/2099,,
576,Antheraea pernyi,RNA virus,Reoviridae,CPV,,,Field,Japan,,1/8/2096,2/12/2099,,
577,Antheraea polyphemus,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
578,Antheraea polyphemus,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
579,Antheraea yamamai,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
580,Antheraea yamamai,DNA virus,Baculoviridae,NPV,,,Lab,Japan,,1/8/2096,2/12/2099,,
581,Automeris aurantiaca,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
582,Automeris io,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
583,Automeris memusae,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
584,Coloradia pandora,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
585,Dictyoploca japonica,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
586,Dictyoploca japonica,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
587,Dictyoploca japonica,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
588,Hemileuca tricolor,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
589,Hyalophora cecropia,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
590,Hyalophora cecropia,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
1359,Hylesia nigricans,DNA virus,Baculoviridae,NPV,Larva,,Field,"Argentina, England",,1/8/2096,2/12/2099,,
591,Nudaurelia cytherea cytherea,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
592,Hemileuca eglanterina,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
593,Samia cynthia,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
594,Samia cynthia,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
595,Samia cynthia pryeri,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
596,Samia cynthia pryeri,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
597,Samia cynthia pryeri,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
598,Samia cynthia ricini,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
599,Samia cynthia ricini,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
600,Saturnia pyri,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
601,Saturnia pyri,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
602,Dira megera,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
603,Pararge aegeria,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
604,Scythris sinensis,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
605,Bembecia contracta,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
606,Bembecia contracta,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
607,Paranthrene pernix,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
608,Hyles euphorbiae,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
609,Hyles euphorbiae,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
610,Hyles lineata,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
611,Cephonodes hylas,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
612,Deilephila elpenor,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
613,Deilephila elpenor,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
614,Mimas tiliae,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
615,Agrius convolvuli,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
616,Hippotion eson,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
617,Sphinx pinastri,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
618,Sphinx pinastri,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
619,Laothoe populi,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
620,Laothoe populi,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
621,Macroglossum pyrrhosticta,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
622,Manduca sexta,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
623,Pachysphynx  modesta,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
624,Psilogramma increta,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
625,Smerinthus ocellata,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
626,Smerinthus ocellata,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
627,Smerinthus ocellata atlanticus,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
628,Sphinx ligustri,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
629,Sphinx ligustri,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
630,Theretra japonica,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
631,Theretra nessus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
632,Theretra oldenlandiae,DNA virus,Iridoviridae,IV,,,Field,Japan,,1/8/2096,2/12/2099,,
633,Thaumetopoea pityocampa,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
634,Thaumetopoea pityocampa,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
635,Thaumetopoea processionea,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
636,Thaumetopoea processionea,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
1360,Thaumetopoea wilkinsoni,RNA virus,Reoviridae,CPV,Larva,midgut,Field,"Isreal, Cyprus",,1/8/2096,2/12/2099,,
1361,Thaumetopoea wilkinsoni,DNA virus,Baculoviridae,NPV,Larva,"hemocytes, fatbody, hypodermal epithelium",Field,"Isreal, Cyprus",,1/8/2096,2/12/2099,,
637,Tinea pellionella,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
638,Tinea pellionella,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
639,Tinea pellionella,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
640,Tineola bisselliella,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
641,Tineola bisselliella,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
642,Acleris gloverana,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
643,Acleris variana,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
644,Adoxophyes fasciata,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
645,Adoxophyes orana,RNA virus,Reoviridae,CPV,,,,Japan,,1/8/2096,2/12/2099,,
646,Adoxophyes orana,DNA virus,Baculoviridae,Adoxophyes orana NPV,,,,Japan,,1/8/2096,2/12/2099,,
647,Archips cerasivorana,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,12/28/2000,,
648,Choristoneura fumiferana,DNA virus,Baculoviridae,Choristoneura fumiferana NPV  (CfMNPV),,,Field,Canada,,1/8/2096,2/12/2099,ON,Useful control agent
649,Choristoneura fumiferana,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,ON,Useful control agent
650,Choristoneura murinana,DNA virus,Baculoviridae,NPV,,,,Europe,,1/8/2096,2/12/2099,,
651,Choristoneura occidentalis,DNA virus,Baculoviridae,Choristoneura fumiferana NPV  (CfMNPV),,,,,,1/8/2096,2/12/2099,BC,Useful control agent
652,Choristoneura pinus,DNA virus,Baculoviridae,NPV,,,Field,Canada,,1/8/2096,2/12/2099,,
653,Choristoneura rosaceana,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
1362,Epiphyas postvittana,DNA virus,Baculoviridae,NPV,Larva,"fatbody, gut collumnar cells",Field,"Australia, New Zealand",,1/8/2096,2/12/2099,,
654,Homona coffearia,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
655,Homona magnanima,RNA virus,Reoviridae,CPV,,,,Japan,,1/8/2096,2/12/2099,,
656,Homona magnanima,DNA virus,Baculoviridae,NPV,,,,Japan,,1/8/2096,2/12/2099,,
657,Merophyas divulsana,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
658,Pandemis lamprosana,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
659,Platynota idaeusalis,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
660,Platynota idaeusalis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
661,Ptycholomoides aeriferana,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
662,Sparganothis pettitana,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
663,Tortrix viridana,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
664,Tortrix viridana,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
665,Argyresthia conjugella,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
666,Plutella xylostella,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
667,Plutella xylostella,DNA virus,Iridoviridae,IV,,,Field,Japan,,1/8/2096,2/12/2099,,
668,Yponomeuta cagnatella,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
669,Yponomeuta evonymella,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
670,Yponomeuta malinellus,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
671,Yponomeuta mayumivorellus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
672,Yponomeuta padella,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
673,Aglaope infausta,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
674,Artona funeralis,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
675,Illiberis pruni,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
676,Pidorus glaucopis atratus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
677,Pryeria sinica,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
678,Chrysopa perla,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
679,Chrysopa perla,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
680,Hemerobius stigma,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
681,Hemerobius stigma,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
682,Acrida turrita,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
683,Atractomorpha lata,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,12/28/2000,,
684,Neophylax sp.,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
685,Dichomeris acuminata,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
686,Cnidocampa flavescens,DNA virus,Baculoviridae,NPV,,,Field,"Japan, China",,1/8/2096,2/12/2099,,
687,Cnidocampa flavescens,RNA virus,Reoviridae,CPV,,,Field,"Japan, China",,1/8/2096,2/12/2099,,
688,Parasa lepida,DNA virus,Baculoviridae,GV,,,Field,Japan,,1/8/2096,2/12/2099,,
689,Parasa sinica,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
690,Scopelodes contracta,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
691,Conogethes punctiferalis,DNA virus,Baculoviridae,NPV,,,,Japan,,1/8/2096,2/12/2099,,
692,Cryptoblabes loxiella,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
693,Dioryctria sylvestrella,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
1644,Costelytra zealandica,DNA virus,Baculoviridae,Lake Grassmere virus ,Larva,Midgut,,New Zealand,,1/8/2096,2/12/2099,,
1645,Costelytra zealandica,RNA virus,Nodaviridae,Costelytra zealandica Flock House Virus,Larva,,Field,New Zealand,,1/8/2096,2/12/2099,,
1646,Costelytra zealandica,RNA virus,Nodaviridae,Manawatu virus,Larva,,,New Zealand,,1/8/2096,2/12/2099,,
694,Wiseana cervinata,DNA virus,Iridoviridae,Wiseana cervinata IV ,,,Field,New Zealand,,1/8/2096,2/12/2099,,
695,Acrobasis zelleri,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
696,Adoxophyes fasciata,DNA virus,Baculoviridae,GV,,,,,,1/8/2096,2/12/2099,,
697,Adoxophyes orana,DNA virus,Baculoviridae,Adoxophyes orana GV,,,Field,"Japan, China",,1/8/2096,2/12/2099,,
698,Adoxophyes orana,DNA virus,Poxviridae,EPV,,,Field,Japan,,1/8/2096,2/12/2099,,
699,Aleimna loeflingiana,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
700,Apotomis geminata,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
701,Archips argyrospila,DNA virus,Baculoviridae,GV,,,,,,1/8/2096,2/12/2099,,
702,Archips breviplicana,DNA virus,Baculoviridae,GV,,,,Japan,,1/8/2096,2/12/2099,,
703,Archips breviplicana,DNA virus,Poxviridae,EPV,,,,,,1/8/2096,2/12/2099,,
704,Archips crataegana,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
705,Archips fuscocupreanus,DNA virus,Poxviridae,EPV,,,,,,1/8/2096,2/12/2099,,
706,Archips issikii,DNA virus,Poxviridae,EPV,,,,,,1/8/2096,2/12/2099,,
707,Hoshinoa longicellana,DNA virus,Baculoviridae,GV,,,,,,1/8/2096,2/12/2099,,
708,Archips packardiana,DNA virus,Baculoviridae,GV,,,,,,1/8/2096,12/31/2099,,
709,Argyrotaenia velutinana,DNA virus,Baculoviridae,GV,,,,USA,,1/8/2096,2/12/2099,,
1363,Choristoneura biennis,DNA virus,Poxviridae,EPV Subgroup B ,Larva,"Fat body, midgut",Field,Canada,,1/8/2096,2/12/2099,unknown,Unknown
1364,Choristoneura conflictana,DNA virus,Poxviridae,EPV Subgroup B ,Larva,Fat body,Field,,,1/8/2096,2/12/2099,,
710,Choristoneura conflictana,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
711,Choristoneura conflictana,DNA virus,Baculoviridae,GV,,,,,,1/8/2096,2/12/2099,,
1365,Choristoneura diversana,DNA virus,Baculoviridae,NPV,Larva,Fat body,Field,,,1/8/2096,2/12/2099,,
712,Choristoneura fumiferana,DNA virus,Poxviridae,EPV,,,,Canada,,1/8/2096,2/12/2099,ON,Useful control agent
713,Choristoneura fumiferana,DNA virus,Baculoviridae,Choristoneura fumiferana GV,,,Field,Canada,,1/8/2096,2/12/2099,ON,Insignificant control agent
1366,Choristoneura diversana,DNA virus,Poxviridae,EPV Subgroup B ,Larva,Fat body,Field,Japan,,1/8/2096,2/12/2099,,
714,Choristoneura murinana,DNA virus,Baculoviridae,GV,,,,,,1/8/2096,2/12/2099,,
715,Choristoneura occidentalis,DNA virus,Baculoviridae,Choristoneura occidentalis GV,,,Field,Canada,,1/8/2096,2/12/2099,BC,Useful control agent
716,Choristoneura viridis,DNA virus,Baculoviridae,GV,,,,,,1/8/2096,2/12/2099,,
717,Clepsis persicana,DNA virus,Baculoviridae,GV,,,,,,1/8/2096,2/12/2099,,
718,Cnephasia longana,DNA virus,Baculoviridae,GV,,,,Germany,,1/8/2096,2/12/2099,,
719,Cnephasia pumicana,DNA virus,Baculoviridae,GV,,,,Germany,,1/8/2096,2/12/2099,,
720,Cryptophlebia leucotreta,DNA virus,Baculoviridae,GV,,,,,,1/8/2096,2/12/2099,,
721,Cydia nigricana ,DNA virus,Baculoviridae,GV,,,,,,1/8/2096,2/12/2099,,
1367,Cydia pomonella,DNA virus,Baculoviridae,Cydia pomonella GV,Larva,,Field,"Canada, UK",,1/8/2096,2/12/2099,"NS, ON, BC",Useful control agent
722,Cydia pomonella,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
723,Epinotia aporema,DNA virus,Baculoviridae,GV,,,,,,1/8/2096,2/12/2099,,
724,Eucosma ancyrota,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
725,Eupoecilia ambiguella,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
726,Griselda radicana,DNA virus,Baculoviridae,GV,,,,,,1/8/2096,2/12/2099,,
727,Homona coffearia,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
728,Homona coffearia,DNA virus,Baculoviridae,GV,,,,,,1/8/2096,2/12/2099,,
729,Homona magnanima,DNA virus,Baculoviridae,Homona magnanima GV,,,Field,"Fuji, Japan",,1/8/2096,2/12/2099,,
730,Homona magnanima,DNA virus,Poxviridae,EPV,,,,Japan,,1/8/2096,2/12/2099,,
731,Endopiza viteana,DNA virus,Baculoviridae,GV,,,,,,1/8/2096,2/12/2099,,
732,Olethreutes appendicea,DNA virus,Baculoviridae,GV,,,,,,1/8/2096,2/12/2099,,
1368,Pandemis heparana,DNA virus,Baculoviridae,NPV,Larva,,,,,1/8/2096,2/12/2099,,
733,Pseudosciaphila duplex,DNA virus,Baculoviridae,GV,,,,,,1/8/2096,2/12/2099,,
734,Rhyacionia duplana,DNA virus,Baculoviridae,GV,,,Field,Japan,,1/8/2096,2/12/2099,,
735,Rhyacionia buoliana,DNA virus,Baculoviridae,GV,,,,,,1/8/2096,2/12/2099,,
736,Rhyacionia frustrana,DNA virus,Baculoviridae,GV,,,,,,1/8/2096,2/12/2099,,
737,Spilonota ocellana,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
738,Xenotemna pallorana,DNA virus,Baculoviridae,GV,,,,,,1/8/2096,2/12/2099,,
739,Zeiraphera improbana,DNA virus,Baculoviridae,GV,,,,,,1/8/2096,2/12/2099,,
740,Zeiraphera improbana,DNA virus,Poxviridae,EPV,,,,,,1/8/2096,2/12/2099,,
741,Zeiraphera improbana,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
742,Amphimallon solstitialis,DNA virus,Poxviridae,EPV Subgroup A,,Fat body,,,,1/8/2096,2/12/2099,,
743,Anomala cuprea,DNA virus,Poxviridae,EPV Subgroup A ,,Fat body,Field,Japan,,1/8/2096,2/12/2099,,
744,Anoplognathus porosus,DNA virus,Poxviridae,EPV Subgroup A ,,Fat body,,,,1/8/2096,2/12/2099,,
745,Anoxia villosa,DNA virus,Poxviridae,EPV Subgroup A ,,Fat body,,,,1/8/2096,2/12/2099,,
746,Antitrogus morbillosus ,DNA virus,Poxviridae,EPV Subgroup A ,,Fat body,,,,1/8/2096,2/12/2099,,
747,Aphodius tasmaniae,DNA virus,Poxviridae,EPV Subgroup A ,,Fat body,,,,1/8/2096,2/12/2099,,
748,Aphodius tasmaniae,RNA virus,Nodaviridae,Nonoccluded virus,,,Lab,,,1/8/2096,2/12/2099,,
749,Dasygnathus sp.,DNA virus,Poxviridae,EPV Subgroup A ,,Fat body,,,,1/8/2096,2/12/2099,,
750,Demodena boranensis,DNA virus,Poxviridae,EPV Subgroup A ,,Fat body,,,,1/8/2096,2/12/2099,,
751,Dermolepida albo-hirtum,DNA virus,Poxviridae,EPV Subgroup A ,,Fat body,,,,1/8/2096,2/12/2099,,
752,Geotrupes silvaticus,DNA virus,Poxviridae,EPV Subgroup A ,,Fat body,,,,1/8/2096,2/12/2099,,
753,Geotrupes stercorosus,DNA virus,Poxviridae,EPV Subgroup A ,,Fat body,,,,1/8/2096,2/12/2099,,
754,Heteronychus arator,RNA virus,Nodaviridae,Nonoccluded virus,,,,,,1/8/2096,2/12/2099,,
755,Heteronychus arator,DNA virus,Baculoviridae,Baculovirus group C,,,Lab,,,1/8/2096,2/12/2099,,
